35	20	90	40	5	66	92	40	97	49	97	52	32	3	52	82	47	47	5	48
77	72	85	63	17	67	34	52	79	100	19	24	41	87	53	14	41	54	39	19
4	94	57	64	4	79	82	100	67	98	94	56	4	78	57	30	98	89	30	81
11	26	82	94	88	81	69	11	54	39	98	11	24	35	64	100	35	22	22	54
95	17	73	56	67	89	98	65	62	76	91	80	22	8	69	51	80	40	93	5
25	79	10	29	97	83	47	86	82	63	72	96	51	1	77	50	61	16	92	41
11	25	13	96	5	83	52	85	56	47	91	18	66	99	61	23	19	28	83	50
45	49	15	9	92	77	50	27	36	56	83	17	96	68	98	96	5	92	36	37
40	6	36	100	98	81	3	13	94	92	28	56	61	98	37	59	52	6	19	94
84	8	23	9	84	54	90	73	74	59	37	4	82	27	10	94	61	44	46	98
